Income,Recency,NumWebVisitsMonth,Education_encoded,Marital_Status_encoded,Age,Seniority,TotalMnt,TotalPurchases,TotalChildren,SpendPerIncome
58138.0,58,7,3,1.0,69,165,1617,25,0,0.027812655876434063
46344.0,38,5,3,1.0,72,147,27,6,2,0.0005825871183514943
71613.0,26,4,3,2.0,61,154,776,21,0,0.010835870081269025
26646.0,26,6,3,2.0,42,148,53,8,1,0.0019889668630615077
58293.0,94,5,5,3.0,45,148,422,19,1,0.007239166981164442
62513.0,16,6,4,2.0,59,153,716,22,1,0.011453434430687526
55635.0,34,6,3,4.0,55,163,590,21,1,0.010604644474800489
33454.0,32,8,5,3.0,41,157,169,10,1,0.005051561799432073
30351.0,19,9,5,2.0,52,156,46,6,1,0.0015155508697944123
5648.0,68,20,5,2.0,76,147,49,2,2,0.008674101610904586
7500.0,59,8,1,3.0,50,163,61,6,0,0.008132249033462205
63033.0,82,2,3,4.0,67,151,1102,16,0,0.017482628422755973
59354.0,53,6,4,4.0,74,151,310,15,2,0.005222811894532896
17323.0,38,8,3,3.0,39,164,46,5,0,0.0026552759178018934
82800.0,23,3,5,1.0,80,163,1315,26,0,0.015881450707117065
41850.0,51,8,3,3.0,46,162,96,9,2,0.002293851998757497
37760.0,20,7,3,2.0,80,165,317,13,0,0.008394904795953497
76995.0,91,5,4,3.0,77,158,1782,26,1,0.023144059431658787
33812.0,86,6,2,1.0,41,163,133,8,1,0.003933398397066217
37040.0,41,8,3,3.0,44,166,316,12,0,0.008531087173672416
2447.0,42,1,3,3.0,47,161,1730,43,1,0.7066993464052288
58607.0,63,8,5,3.0,77,162,972,17,1,0.016584766584766583
65324.0,0,4,5,3.0,72,149,544,20,1,0.008327592805204745
40689.0,69,8,3,2.0,75,159,444,20,1,0.010911771934136151
18589.0,89,7,3,1.0,57,161,75,8,0,0.004034427111350188
53359.0,4,7,3,3.0,50,156,257,14,2,0.004816341829085457
38360.0,26,3,3,3.0,37,156,131,9,1,0.003414926618179922
84618.0,96,2,5,3.0,61,150,1672,26,0,0.019759155745163615
10979.0,34,5,4,4.0,37,144,30,8,0,0.00273224043715847
38620.0,56,3,4,2.0,63,157,318,11,0,0.008233862406462806
40548.0,31,5,3,2.0,56,164,120,9,1,0.002959382475523441
46610.0,8,6,5,4.0,74,163,302,17,2,0.006479157280470276
68657.0,4,7,4,3.0,80,160,1196,18,0,0.017419674327827785
49389.0,55,7,4,1.0,75,153,65,6,2,0.0013160558817574407
67353.0,37,2,5,3.0,56,149,913,28,1,0.01355524541972266
23718.0,76,7,2,3.0,50,153,81,9,1,0.0034149837682870272
42429.0,99,5,3,5.0,53,148,67,7,1,0.0015790714117369785
48948.0,53,6,5,4.0,83,160,902,24,0,0.01842734274448916
80011.0,3,4,3,3.0,46,157,1395,21,1,0.017434884767284907
20559.0,88,8,4,3.0,41,159,53,7,1,0.0025778210116731517
21994.0,4,5,3,2.0,69,162,22,4,1,0.0010002273243919072
7500.0,19,5,4,3.0,51,152,31,8,1,0.0041327822956939075
79941.0,72,1,3,1.0,50,143,984,16,0,0.012308923969878162
7500.0,24,9,2,3.0,30,163,122,10,0,0.01626449806692441
41728.0,92,10,3,2.0,58,156,55,5,1,0.0013180282297682666
72550.0,39,8,5,3.0,72,163,1319,28,2,0.018180314537359927
65486.0,29,2,3,5.0,69,145,507,17,1,0.0077419945943469695
79143.0,2,3,4,3.0,62,166,1693,29,0,0.021391387849994947
35790.0,54,7,3,1.0,49,161,72,7,1,0.0020116789136933864
82582.0,54,1,3,4.0,49,144,1617,21,0,0.019580301030478427
66373.0,57,3,3,3.0,48,156,606,23,2,0.009130081055835116
82384.0,55,1,4,2.0,71,163,1957,27,0,0.023754324209504157
70287.0,30,3,3,4.0,60,158,1093,21,0,0.015550307307079445
27938.0,31,3,3,1.0,38,145,29,6,1,0.0010379755896775117
55954.0,63,7,5,3.0,58,147,518,19,1,0.009257439013492985
